day,hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,total
0,0,413,248,790,410,412,2480,1835,5105,15,106,78,31,58,223,150,361,70,26,207,57,405,1521,210,2131,325,57,82,2461,156,145,401,2520,915,149,160,32,39,164,106,85,411,163,179,200,27,73,10,35,145,24,48,5,58,15,6,772,64,110,67,156,129,36,63,51,74,108,83,111,166,58,129,31,61,44,34,1967,541,31393
0,1,329,207,575,322,297,1914,1346,4042,20,64,58,21,50,173,115,242,59,19,138,60,306,1285,183,1686,243,40,91,1960,128,106,329,1812,618,162,107,16,34,108,80,49,287,106,136,162,24,30,9,35,124,12,22,5,43,7,5,459,35,67,38,126,95,27,61,29,53,91,76,94,132,41,102,17,58,42,35,1326,451,23856
0,2,247,152,476,223,213,1643,1020,2878,14,46,58,13,42,147,97,221,51,16,131,50,231,948,166,1307,178,35,86,1639,124,98,245,1174,383,155,82,18,19,86,45,57,224,92,128,110,12,31,8,23,95,15,29,8,38,8,5,368,30,90,49,111,88,27,59,30,44,75,64,74,94,41,96,23,38,24,31,1018,339,18453
0,3,239,165,497,242,259,1449,1105,2722,11,65,53,20,24,122,82,206,42,11,127,45,208,847,158,1166,191,48,87,1364,115,96,220,958,293,123,82,16,23,118,81,43,221,82,115,122,16,40,4,18,85,14,18,8,30,11,6,494,19,72,23,95,75,31,45,31,27,89,75,84,106,36,79,18,49,16,32,1266,353,17628
0,4,297,191,569,220,301,1781,1143,2755,14,63,82,22,49,170,124,244,53,17,137,79,224,850,191,1192,235,50,100,1381,101,142,279,1156,430,90,93,18,31,109,79,38,195,88,149,114,21,45,7,21,97,13,33,8,46,13,7,349,24,133,38,77,105,45,60,32,50,99,76,100,126,56,134,29,41,17,29,895,355,18827
0,5,294,203,477,240,303,1742,1227,2904,18,80,68,20,48,192,167,232,58,31,213,67,247,944,243,1410,315,62,97,1508,136,194,358,1232,560,62,144,39,32,136,103,81,202,112,210,125,31,77,4,33,113,22,44,14,32,22,8,409,35,152,48,131,129,64,69,39,96,185,79,102,141,71,152,25,76,27,37,1003,319,20925
0,6,384,282,703,311,413,2299,1746,3618,26,93,91,51,62,246,238,364,113,48,312,148,454,1136,326,1956,416,90,119,1578,165,248,442,1362,604,82,224,62,39,220,179,106,282,172,317,162,50,101,9,46,182,32,56,21,72,31,13,323,68,184,76,210,177,75,123,61,109,213,127,118,195,133,231,46,115,14,58,1216,434,27208
0,7,510,525,910,326,476,2943,2558,6051,43,169,114,57,107,345,340,462,149,55,411,151,446,1538,428,3022,489,98,220,2807,266,327,634,2019,767,154,402,83,31,323,248,140,488,241,395,238,77,127,18,85,229,40,41,16,90,33,16,489,111,275,111,316,258,103,172,86,176,220,165,201,260,178,251,56,157,23,80,1116,551,38633
0,8,593,585,943,416,479,2814,2707,8455,27,184,147,75,131,317,334,442,137,50,482,160,492,1717,450,3705,521,96,219,3986,287,366,754,2896,1047,181,543,106,39,387,356,153,619,298,470,266,65,178,11,76,231,55,43,28,106,19,10,699,111,265,110,437,279,78,206,75,191,247,171,175,270,131,274,53,150,19,73,1313,594,46175
0,9,499,450,937,361,380,2424,1862,6442,31,114,116,55,99,299,296,400,146,56,437,133,382,1276,379,2729,447,95,166,3147,245,352,645,2904,883,159,408,77,27,255,276,124,639,205,355,194,44,107,15,53,196,35,53,26,97,20,5,591,81,240,120,319,215,70,140,56,161,237,128,175,242,119,247,51,121,13,63,2055,619,38620
