day,hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,total
0,0,725,488,1446,616,613,3526,2661,5744,67,150,137,66,104,441,316,475,156,46,376,128,601,1958,399,3071,547,131,166,2902,266,298,685,2573,854,230,273,57,35,257,230,134,414,224,398,224,46,132,9,67,220,29,51,35,96,42,8,381,48,193,131,277,184,69,147,68,116,260,168,176,238,105,252,76,117,61,96,924,905,40935
0,1,559,346,1228,488,505,2919,2282,4640,30,124,113,47,59,292,242,375,114,37,292,102,470,1667,295,2411,353,91,141,2029,204,201,563,1994,708,125,178,53,23,170,153,107,342,192,313,169,29,88,9,34,163,19,29,17,77,19,10,267,52,120,72,222,137,51,107,63,62,153,93,131,159,79,166,60,90,70,75,615,725,31809
0,2,475,257,986,412,411,2189,1522,3517,36,131,87,52,61,272,193,340,79,26,211,108,415,1386,319,1982,323,85,131,1651,176,206,487,1429,410,100,163,40,15,167,127,80,262,174,243,126,23,59,6,31,117,14,24,13,60,22,2,195,52,102,53,178,96,44,61,38,64,109,111,96,148,74,133,53,68,28,52,357,597,24942
0,3,411,230,887,381,360,2066,1324,3231,24,80,73,37,40,238,198,276,62,23,169,88,340,1230,270,1804,265,81,127,1218,166,145,348,1296,340,75,115,33,19,135,108,89,259,147,168,111,26,43,15,33,106,15,26,6,64,16,6,166,20,106,55,153,110,32,66,46,39,93,80,101,121,51,128,37,55,24,36,544,600,22106
0,4,418,220,852,381,334,1892,1010,2710,18,73,82,16,45,227,158,284,77,36,203,63,341,1085,268,1608,283,77,91,1160,121,158,343,1227,254,80,133,33,24,114,121,79,202,124,184,146,17,63,3,31,119,15,19,9,59,16,9,741,63,124,52,129,123,17,62,55,56,99,85,87,135,54,115,33,47,27,43,1813,528,22203
0,5,407,192,632,331,314,1776,943,2751,18,92,76,23,48,221,167,310,60,29,188,78,332,1009,233,1489,285,67,126,1452,188,157,325,1492,318,53,139,32,34,155,100,80,227,126,180,129,28,52,29,26,134,28,54,17,44,17,15,1163,85,104,52,179,144,42,72,71,49,112,83,103,130,65,112,32,47,30,30,3489,519,24541
0,6,337,217,572,337,277,1491,864,3642,22,106,77,22,65,206,161,340,72,31,184,79,306,1053,250,1386,326,88,118,2719,239,160,332,2842,310,55,142,21,29,134,106,79,316,148,214,175,32,58,34,28,164,34,47,14,56,14,9,969,85,116,79,126,186,33,65,68,70,118,104,106,150,74,117,35,73,25,64,4425,370,28598
0,7,373,265,599,390,386,1429,1062,4929,18,209,120,45,155,212,168,457,95,34,226,98,416,1126,329,1591,433,96,152,4644,253,204,398,6003,331,85,270,35,43,182,139,112,524,143,251,241,25,121,25,61,181,52,41,12,60,18,13,1064,174,196,97,118,256,32,121,121,115,150,126,178,274,118,164,49,105,52,128,4243,362,38123
0,8,395,297,546,445,484,1338,1133,6851,37,169,151,73,154,199,218,524,124,45,342,110,404,1023,386,1628,403,71,219,6224,335,280,404,9743,391,93,327,56,54,270,243,131,642,210,300,310,46,138,26,69,266,106,52,11,66,21,9,642,172,191,100,166,278,62,121,110,146,146,155,220,228,132,273,73,119,36,89,2687,426,45164
0,9,329,263,554,328,448,1236,1020,7214,30,97,104,59,138,176,176,316,156,31,271,89,267,779,277,1420,333,92,139,5693,248,281,326,10674,436,118,247,44,38,208,156,80,652,187,221,219,61,75,18,38,162,64,48,11,67,13,11,627,109,172,69,103,175,50,58,52,102,134,96,184,213,89,162,58,86,33,57,2335,346,42048
0,10,265,250,505,264,315,1188,973,5325,16,98,88,55,135,163,184,269,116,33,236,61,220,796,244,1209,357,84,123,3574,210,241,297,5922,514,125,216,37,32,149,109,63,633,159,213,243,39,63,17,46,156,53,44,12,31,16,6,1047,77,142,87,135,155,44,71,47,104,119,99,137,188,82,140,46,69,30,66,2977,347,33001
0,11,280,265,450,254,272,1144,982,5103,18,105,114,59,125,158,178,304,105,28,249,65,230,828,199,1253,305,67,106,3171,208,202,359,4698,499,153,184,34,46,154,131,70,582,135,229,236,29,89,31,49,152,53,61,20,50,14,23,1341,100,121,72,116,189,37,94,63,98,117,100,129,189,93,141,47,63,24,72,3254,323,31691
0,12,278,286,500,275,292,1262,1135,5749,33,107,118,58,125,177,201,335,117,31,264,85,277,859,263,1381,367,96,143,3894,215,232,370,4972,527,183,211,32,39,208,149,73,579,138,273,285,28,81,26,53,162,50,48,10,53,16,20,1131,80,172,109,160,206,51,99,63,109,158,136,189,216,124,151,59,102,24,81,3710,352,35223
0,13,398,334,593,370,406,1468,1292,6342,21,149,129,55,153,229,214,373,132,39,282,103,348,1063,337,1658,472,90,153,4446,283,263,379,5852,554,172,287,49,61,206,193,117,772,220,269,320,41,121,32,55,211,62,57,14,92,23,22,1046,103,198,116,224,220,58,133,71,134,188,140,196,224,121,217,67,97,45,86,3463,437,39960
0,14,402,456,669,408,444,1775,1519,7558,22,138,142,89,160,252,301,452,145,61,373,116,452,1203,405,1858,500,105,244,5395,392,319,528,7211,634,233,340,48,51,322,217,141,788,219,317,343,56,115,30,74,257,88,73,12,91,31,9,780,118,258,136,224,276,85,153,100,125,212,163,232,254,170,268,66,133,29,103,3041,497,46006
0,15,479,514,722,470,525,2108,1886,8821,43,141,153,101,143,311,314,463,149,46,376,116,423,1321,399,2223,532,119,235,5745,363,374,511,8125,674,217,395,86,47,332,247,138,880,300,370,299,78,137,14,61,238,77,65,19,109,29,11,749,110,218,154,263,284,65,172,104,163,234,210,268,317,146,288,101,149,32,121,2603,570,50395
0,16,559,526,805,520,575,2437,2160,8040,39,143,160,84,153,349,340,492,156,62,456,148,462,1499,442,2409,605,116,250,4968,396,360,570,5795,779,253,421,88,62,384,267,175,856,258,418,354,76,147,21,89,267,64,76,20,135,26,15,887,116,237,157,308,261,101,172,88,184,314,196,257,327,175,296,77,142,32,111,2767,669,49201
0,17,577,526,1015,559,570,2759,2742,8710,42,161,138,110,168,341,354,481,193,72,491,152,581,1621,432,2894,610,164,229,4785,400,352,691,5204,912,308,502,101,40,380,321,172,800,293,448,393,70,139,19,91,242,71,116,27,114,31,23,848,139,256,135,362,266,70,187,86,185,273,191,199,344,184,266,82,127,28,141,2253,700,51059
0,18,673,613,1268,652,702,3652,3379,10274,47,177,137,70,180,409,422,632,188,77,478,187,648,2098,532,3527,671,157,251,5490,337,410,740,5494,935,388,432,88,55,390,352,169,785,350,525,338,91,126,17,76,265,57,87,18,126,39,21,713,121,257,139,349,254,82,184,100,193,298,220,265,346,204,327,86,183,41,102,1916,832,57514
0,19,633,500,1331,619,752,3984,3427,9203,37,126,163,76,155,406,413,589,146,77,444,177,639,2094,473,3309,658,139,221,4527,322,341,619,4364,840,282,355,83,55,322,303,161,735,297,465,343,83,158,16,102,243,63,68,20,111,38,9,541,98,225,132,321,254,89,192,65,168,296,215,227,300,159,305,80,156,28,90,1527,963,52547
0,20,678,518,1503,628,640,3535,2772,7624,46,131,126,65,95,356,327,521,137,68,432,148,554,1910,406,2867,599,133,192,3740,299,322,613,3774,773,235,325,69,46,347,263,128,629,244,400,318,54,118,13,71,247,59,52,22,122,35,17,385,70,215,127,277,248,71,159,82,146,245,184,198,290,139,278,79,122,16,94,1214,819,45804
0,21,663,523,1467,573,597,3440,2496,7126,41,137,135,74,103,408,334,551,110,53,389,165,538,1761,429,2861,569,140,211,3251,313,334,569,3737,759,183,363,80,47,275,259,168,608,276,382,291,48,142,12,64,239,40,54,13,122,35,20,354,75,197,98,331,249,51,146,99,114,272,215,226,252,174,287,71,138,23,88,936,831,43805
0,22,663,533,1221,568,572,3299,2203,6453,45,171,154,83,118,415,335,547,130,50,416,166,648,1853,471,2661,616,121,252,3011,359,333,608,3266,664,190,367,74,44,310,280,170,573,295,434,277,59,137,17,86,215,53,71,18,111,35,12,363,72,211,109,315,220,78,179,68,125,273,164,204,282,140,271,75,144,19,77,904,811,41937
0,23,709,523,1191,562,574,3153,2299,6349,50,147,111,57,112,412,337,574,114,60,401,163,543,1869,468,2996,626,169,225,3222,353,296,640,2955,695,214,343,82,51,331,273,160,539,297,435,255,58,141,10,78,226,43,72,20,135,27,24,356,71,225,129,333,240,60,162,68,133,272,233,230,278,139,267,66,128,26,74,754,846,41859
1,0,590,417,992,490,486,2558,1925,4987,47,101,93,61,82,334,272,435,103,41,323,112,465,1560,395,2565,486,96,173,2623,241,240,603,2041,479,169,293,71,17,268,247,137,400,231,367,219,41,104,14,64,163,26,42,19,90,25,6,255,51,184,91,266,192,58,142,69,84,191,155,165,205,105,225,44,89,25,65,623,744,33457
1,1,487,311,912,399,433,2202,1661,3703,31,68,81,45,63,313,214,349,99,36,257,113,390,1240,289,2096,333,82,123,1883,199,203,468,1464,364,125,195,51,16,159,157,80,333,174,282,112,35,65,6,32,122,20,42,26,64,26,10,151,42,131,77,185,127,57,126,38,68,159,124,119,137,70,162,55,69,23,45,300,589,25897
1,2,425,262,819,339,322,1617,1026,2503,22,91,54,33,54,245,166,281,55,25,239,89,301,976,240,1519,283,71,79,1150,157,164,323,1071,271,81,133,24,14,149,115,58,229,132,197,109,29,55,3,35,101,15,18,18,60,22,7,83,40,105,66,170,95,22,76,40,48,94,87,92,136,62,127,40,47,24,45,217,455,19047
1,3,338,221,606,265,248,1317,817,1955,20,57,69,19,32,160,123,236,53,25,164,59,247,751,171,1179,220,48,88,902,131,147,248,914,237,53,95,28,13,111,88,70,199,95,147,102,16,46,6,25,77,10,22,7,31,11,4,129,31,63,37,99,77,18,60,41,54,71,58,62,143,43,87,24,36,20,47,366,354,15243
1,4,322,155,514,255,185,1189,625,1663,18,74,64,20,39,161,136,254,54,17,138,62,247,711,181,985,210,59,89,760,137,104,250,866,195,38,89,29,23,72,82,67,162,92,144,113,13,48,3,21,89,10,28,8,41,17,4,401,47,73,44,109,98,15,62,47,37,73,63,71,110,52,77,27,40,25,24,1141,378,14946
1,5,260,125,371,218,165,823,506,1683,7,63,54,15,31,125,121,205,41,25,164,62,189,608,176,787,227,48,78,1036,154,132,197,1114,172,39,92,17,22,73,73,44,155,91,141,104,15,43,37,22,94,31,46,11,39,15,15,694,62,80,25,71,107,28,64,45,45,88,55,89,100,52,109,32,39,20,30,2155,287,15478
1,6,270,157,336,223,181,812,533,2625,16,76,55,16,42,132,133,226,50,21,122,63,238,612,207,856,284,64,84,2218,172,122,234,2350,219,43,94,17,22,98,55,53,249,110,149,156,25,54,14,27,133,21,38,10,45,17,6,647,74,103,49,90,151,26,64,76,60,89,80,92,119,72,108,29,64,17,49,2731,276,20251
1,7,263,239,413,317,322,934,788,4253,14,167,104,29,158,164,171,370,90,24,191,99,295,850,311,1114,348,70,125,4205,218,194,308,5772,259,68,204,37,35,151,92,87,383,160,219,214,28,87,16,43,184,62,41,9,36,15,14,729,156,158,73,94,216,39,100,94,91,139,97,156,226,96,161,46,97,32,125,2238,311,30838
1,8,348,258,455,330,361,957,841,6097,18,147,138,50,129,179,186,388,105,38,311,91,318,765,299,1202,354,81,211,5972,289,231,355,9446,329,88,304,46,32,234,256,97,569,217,239,258,36,131,26,59,255,99,42,20,66,9,10,448,137,195,89,127,234,54,91,86,131,123,124,174,216,118,228,66,96,31,82,1968,357,39547
1,9,242,203,430,240,375,819,788,6212,18,89,95,44,125,134,147,256,120,26,241,72,203,668,235,1219,318,50,136,5268,216,272,297,9222,353,93,202,34,42,190,132,83,574,156,220,202,42,56,20,39,173,48,43,12,50,15,10,438,103,117,68,96,160,39,64,57,108,120,65,142,189,90,124,48,70,23,46,1521,250,35507
1,10,220,224,349,231,275,904,693,4528,27,89,90,52,113,143,180,224,98,45,208,58,178,599,199,1052,267,60,113,3192,180,203,217,5106,351,130,177,35,19,153,99,63,536,139,191,153,33,69,22,49,148,55,44,11,38,15,7,610,82,129,76,114,142,52,97,50,86,98,73,135,146,74,108,52,70,26,49,1955,260,27138
1,11,233,226,397,221,245,925,788,4313,20,71,80,36,90,142,148,251,112,22,174,66,219,582,155,992,287,74,99,2754,195,187,287,4106,357,162,159,25,30,145,112,67,508,146,203,208,30,65,24,36,154,45,39,9,47,13,16,808,102,129,48,111,148,44,81,74,93,117,103,132,166,77,149,37,76,23,46,2336,246,26243
1,12,263,251,409,238,279,1075,929,5013,11,85,86,45,126,157,157,291,102,33,235,50,224,714,205,1168,336,102,127,3540,203,197,267,4379,459,206,192,24,29,170,123,67,534,157,231,171,37,86,24,41,148,54,48,15,57,16,14,768,87,138,53,149,170,43,107,55,81,141,133,154,192,93,148,48,78,22,60,2807,278,30005
1,13,339,337,468,349,348,1230,1117,5583,23,144,102,55,125,201,228,329,83,43,249,111,286,863,284,1404,412,85,140,3945,226,241,342,5073,476,193,242,49,45,178,132,98,632,189,289,259,49,123,33,51,206,57,39,13,80,26,17,775,93,174,84,175,234,58,104,89,111,156,140,192,227,110,166,58,96,40,75,2458,358,34214
1,14,376,396,550,348,404,1451,1211,6508,25,149,118,67,124,217,250,373,110,47,312,120,352,905,327,1640,436,104,213,4762,339,318,386,6435,602,181,307,46,38,236,197,125,626,235,281,292,45,120,25,63,212,57,62,14,84,19,11,584,102,163,107,207,233,63,124,63,124,187,156,213,220,121,247,43,128,15,95,2452,450,39348
1,15,389,400,625,423,474,1630,1532,7323,32,146,113,76,146,259,270,366,140,37,344,120,329,1029,327,1793,495,107,197,5036,350,325,427,6910,562,197,358,67,49,295,214,146,768,290,338,291,60,116,18,85,210,62,68,29,94,20,13,664,113,201,105,243,246,53,158,83,132,220,195,240,259,144,232,87,152,32,119,2240,503,42941
1,16,494,475,693,414,451,1948,1712,6983,33,114,129,72,146,268,287,403,134,54,382,120,402,1191,394,2047,513,107,232,4321,329,340,488,4891,673,278,386,87,58,332,250,125,691,276,395,286,58,128,18,73,233,57,65,23,129,19,17,726,86,223,129,279,228,78,154,77,143,241,162,222,298,145,263,55,143,23,81,2512,592,42084
1,17,509,551,872,466,576,2576,2546,8651,55,144,149,79,165,294,304,467,131,52,397,150,462,1517,467,2862,585,141,219,4991,396,343,582,4877,855,319,458,87,44,366,289,157,633,292,415,326,70,144,19,63,224,61,85,28,112,36,26,722,104,227,133,367,254,80,140,92,148,261,202,222,301,183,273,74,154,23,100,2209,642,48596
1,18,558,507,1282,633,702,3424,3398,10595,59,127,132,68,170,338,342,554,144,51,412,158,580,2027,441,3564,570,152,267,5823,369,330,612,4966,935,349,417,117,48,350,290,139,693,278,490,319,73,148,13,76,251,48,81,25,114,34,23,622,112,217,141,334,234,65,159,79,146,262,206,227,334,163,317,72,164,16,93,1617,797,55043
1,19,637,466,1325,562,790,3839,3776,8777,53,144,138,74,137,352,334,502,128,42,378,151,581,2046,432,3519,506,132,223,5053,339,328,543,4362,784,301,362,75,41,307,298,147,609,239,437,289,53,136,15,68,249,59,64,20,115,23,7,425,100,196,115,341,200,69,136,72,131,241,204,176,257,138,294,42,145,25,90,1209,806,50779
1,20,617,459,1184,552,664,3800,2932,7455,42,126,121,81,119,345,313,499,128,48,387,114,532,1784,389,3034,509,100,191,3717,292,286,581,3580,777,192,338,64,36,310,248,133,605,271,421,274,60,117,18,82,206,51,55,26,123,24,9,320,79,195,117,293,194,50,127,72,131,214,152,166,273,148,260,78,125,28,91,1022,761,44317
1,21,665,470,1201,550,631,3775,2493,6828,48,121,114,76,108,363,307,485,104,27,310,132,489,1735,415,2942,512,107,197,3321,274,293,576,3470,787,193,325,81,31,300,271,149,576,288,444,253,49,132,13,48,200,39,61,11,104,31,18,275,64,211,114,285,227,44,132,77,96,217,180,190,230,140,263,73,132,23,85,801,766,42168
1,22,656,446,1221,547,607,3479,2470,6308,54,118,111,82,115,357,324,501,129,39,329,139,561,1808,412,2905,522,107,235,3131,349,328,517,3148,734,157,305,62,37,269,241,147,514,264,429,261,57,142,18,77,224,50,53,21,82,25,13,313,72,171,91,287,219,62,137,76,113,257,155,192,256,123,243,80,153,36,80,855,887,41095
1,23,637,431,1117,483,525,2864,2009,5497,54,119,120,51,132,380,279,483,105,49,332,117,503,1710,430,2761,577,129,202,2773,329,314,609,2588,621,165,339,63,36,310,263,159,427,282,445,228,43,120,8,68,214,29,61,20,101,31,16,270,78,196,93,302,210,68,143,75,96,254,180,196,289,142,283,65,129,40,83,653,763,37366
